track_id,title,artist,rank,preview
538660022,Livin' On A Prayer,Bon Jovi,933844,"https://cdnt-preview.dzcdn.net/api/1/1/7/c/1/0/7c1d95d2fe6ad479f66d912db049df50.mp3?hdnea=exp=1750683405~acl=/api/1/1/7/c/1/0/7c1d95d2fe6ad479f66d912db049df50.mp3*~data=user_id=0,application_id=42~hmac=6280d8724110d11a0231d985b8fb5c40bbfa22e257dcde4b4aa8371b7be30a02"
68515055,Enjoy the Silence,Depeche Mode,932523,"https://cdnt-preview.dzcdn.net/api/1/1/6/b/c/0/6bc8eee9f93fb96544848258798033ea.mp3?hdnea=exp=1750683405~acl=/api/1/1/6/b/c/0/6bc8eee9f93fb96544848258798033ea.mp3*~data=user_id=0,application_id=42~hmac=d272fd0c719e19eb3897743d4d6357ce90127134d52ee1101acfbafcd68ef158"
63480992,The Chain (2004 Remaster),Fleetwood Mac,928273,"https://cdnt-preview.dzcdn.net/api/1/1/3/5/8/0/3580df8f8e660f3390842952c8f96437.mp3?hdnea=exp=1750683405~acl=/api/1/1/3/5/8/0/3580df8f8e660f3390842952c8f96437.mp3*~data=user_id=0,application_id=42~hmac=b21e1ee28c2f1b2b7b09673c0a3632c49d18fc2208d7b6a1e164186b3bc98724"
88003859,Stairway to Heaven (Remaster),Led Zeppelin,923172,"https://cdnt-preview.dzcdn.net/api/1/1/2/6/6/0/26692783366247f9e456227bc4eb9550.mp3?hdnea=exp=1750683405~acl=/api/1/1/2/6/6/0/26692783366247f9e456227bc4eb9550.mp3*~data=user_id=0,application_id=42~hmac=fa5744d79e82c8e02b25fa280578a1537693258f1b9006c7ca7c68ce322a45ba"
785176,Under the Bridge,Red Hot Chili Peppers,920778,"https://cdnt-preview.dzcdn.net/api/1/1/3/5/d/0/35dec79ccfa79745ced0b4ffa2a0f8a2.mp3?hdnea=exp=1750683405~acl=/api/1/1/3/5/d/0/35dec79ccfa79745ced0b4ffa2a0f8a2.mp3*~data=user_id=0,application_id=42~hmac=ee2a20ee87e26bc07362228ae90ee4f2035b868570a92163b070364bf4a06035"
1143625,Boys Don't Cry,The Cure,920313,"https://cdnt-preview.dzcdn.net/api/1/1/a/7/1/0/a71b79e8371c2bb9759fb8c03d7328ae.mp3?hdnea=exp=1750683405~acl=/api/1/1/a/7/1/0/a71b79e8371c2bb9759fb8c03d7328ae.mp3*~data=user_id=0,application_id=42~hmac=68f0c57303add825f939b82322853cde6af7862685376dcde9c6d2e296897093"
518458092,Welcome To The Jungle,Guns N' Roses,919208,"https://cdnt-preview.dzcdn.net/api/1/1/e/3/b/0/e3bdd797ec36df3068f8288688889ef2.mp3?hdnea=exp=1750683405~acl=/api/1/1/e/3/b/0/e3bdd797ec36df3068f8288688889ef2.mp3*~data=user_id=0,application_id=42~hmac=b879f1e9896f58dfc4bf18bb0203050b55c2e3299156cb81ad057da754c63e89"
1483825212,Enter Sandman (Remastered 2021),Metallica,918344,"https://cdnt-preview.dzcdn.net/api/1/1/c/7/0/0/c70d7e81abc196d915aadd1e7489a75a.mp3?hdnea=exp=1750683405~acl=/api/1/1/c/7/0/0/c70d7e81abc196d915aadd1e7489a75a.mp3*~data=user_id=0,application_id=42~hmac=cbc22c1eb6ff8d31882bff764035e8c60406eae2eaf0c1fa1bc5a7958e9d3d26"
927900,Wind Of Change,Scorpions,916862,"https://cdnt-preview.dzcdn.net/api/1/1/2/6/6/0/266a165b231eb2a89b48b4fce7f43f5a.mp3?hdnea=exp=1750683405~acl=/api/1/1/2/6/6/0/266a165b231eb2a89b48b4fce7f43f5a.mp3*~data=user_id=0,application_id=42~hmac=12d24d04f29ee3de103da8cda35b635cb1c9b128f622dd98fdf29aa6b870c49a"
625643,Don't Stop Believin',Journey,916669,"https://cdnt-preview.dzcdn.net/api/1/1/d/2/0/0/d2075fdf5e55ef0a8f8383cefd6fc51b.mp3?hdnea=exp=1750683403~acl=/api/1/1/d/2/0/0/d2075fdf5e55ef0a8f8383cefd6fc51b.mp3*~data=user_id=0,application_id=42~hmac=6164ba406e0843b37e0259fbf6d0b2133f30e1c9ac3a84b3f77290620961ed7f"
69962764,Should I Stay or Should I Go (Remastered),The Clash,913621,"https://cdnt-preview.dzcdn.net/api/1/1/f/8/5/0/f85fc630b231b9a7d9365c5939358474.mp3?hdnea=exp=1750683405~acl=/api/1/1/f/8/5/0/f85fc630b231b9a7d9365c5939358474.mp3*~data=user_id=0,application_id=42~hmac=8316a98b0bfadcf127bb61f0c397c1683e782c5de353ea1ae20795e54baf03f6"
505510232,Knockin' On Heaven's Door,Guns N' Roses,912480,"https://cdnt-preview.dzcdn.net/api/1/1/e/d/f/0/edfb2b7cf4665adcf6e57c038d4cee44.mp3?hdnea=exp=1750683405~acl=/api/1/1/e/d/f/0/edfb2b7cf4665adcf6e57c038d4cee44.mp3*~data=user_id=0,application_id=42~hmac=1c980777e3c9117beff9fd03f27904546a4cc38275ce51a0943a10f8d3a55fad"
725254,Scar Tissue,Red Hot Chili Peppers,909716,"https://cdnt-preview.dzcdn.net/api/1/1/5/8/2/0/5827c9257a749eb955a7dd3ef3c2eb3c.mp3?hdnea=exp=1750683406~acl=/api/1/1/5/8/2/0/5827c9257a749eb955a7dd3ef3c2eb3c.mp3*~data=user_id=0,application_id=42~hmac=3843756a84e02d2c4029d6bcce0c8904eefc08bbf626e4a93c4f166735645941"
24949681,Sweet Home Alabama,Lynyrd Skynyrd,909391,"https://cdnt-preview.dzcdn.net/api/1/1/9/0/8/0/908367b8d697a174034bce8c338339f6.mp3?hdnea=exp=1750683403~acl=/api/1/1/9/0/8/0/908367b8d697a174034bce8c338339f6.mp3*~data=user_id=0,application_id=42~hmac=cc5c22381146fda7ad5d286b7a0296af98b4296627881c19a120b6d0aa8c9904"
624823,I Don't Want To Miss A Thing,Aerosmith,908963,"https://cdnt-preview.dzcdn.net/api/1/1/8/a/0/0/8a037808681ad1ec39fa969694663514.mp3?hdnea=exp=1750683405~acl=/api/1/1/8/a/0/0/8a037808681ad1ec39fa969694663514.mp3*~data=user_id=0,application_id=42~hmac=8e2742c6e31282d05a311b1935b6eeb1b6472dee1b8f9a0b2dc884504a2ce2ab"
545992732,I Love Rock 'N Roll,Joan Jett and the Blackhearts,906651,"https://cdnt-preview.dzcdn.net/api/1/1/b/4/4/0/b440cb2b130f22caf9a8d99e958288fd.mp3?hdnea=exp=1750683405~acl=/api/1/1/b/4/4/0/b440cb2b130f22caf9a8d99e958288fd.mp3*~data=user_id=0,application_id=42~hmac=62d27067f15ec2b80ca02d30734752a79d664176c732b25a6d91e581bb49c375"
1078779,Hold the Line,Toto,906292,"https://cdnt-preview.dzcdn.net/api/1/1/0/a/d/0/0adc56b30c1c90d12daf6feafd328c5a.mp3?hdnea=exp=1750683404~acl=/api/1/1/0/a/d/0/0adc56b30c1c90d12daf6feafd328c5a.mp3*~data=user_id=0,application_id=42~hmac=5ddb0c33e3774f7267444ed00c6454150078de564bd2dd1b14909402477f3ca0"
