track_id,title,artist,rank,preview
3233989261,Song for You,Myd,753946,"https://cdnt-preview.dzcdn.net/api/1/1/d/3/4/0/d34e7e69b5852c62aecff7c78356cff3.mp3?hdnea=exp=1750683289~acl=/api/1/1/d/3/4/0/d34e7e69b5852c62aecff7c78356cff3.mp3*~data=user_id=0,application_id=42~hmac=d848082cc741948b18ec0850b75061600456420fa471ef5ff02b2559ba6f8340"
998635,Rasputin,Boney M.,745728,"https://cdnt-preview.dzcdn.net/api/1/1/0/4/e/0/04e4294a7fad26260efca1bd8ad378c6.mp3?hdnea=exp=1750683288~acl=/api/1/1/0/4/e/0/04e4294a7fad26260efca1bd8ad378c6.mp3*~data=user_id=0,application_id=42~hmac=ad286ebd76675ae1782a0572d11f890f9f93134bd5a17fa9779d01c2060f5c03"
968798,Rivers of Babylon,Boney M.,738562,"https://cdnt-preview.dzcdn.net/api/1/1/0/4/c/0/04c94528eba04fe9c32fe07f64416050.mp3?hdnea=exp=1750683288~acl=/api/1/1/0/4/c/0/04c94528eba04fe9c32fe07f64416050.mp3*~data=user_id=0,application_id=42~hmac=c1e1c9344d98dc06c968d617454a4953aba006ef80533b58864501894f7cac79"
3389903,Tarzan Boy,Baltimora,722714,"https://cdnt-preview.dzcdn.net/api/1/1/0/9/f/0/09ff97eea1447cee83a379868af76267.mp3?hdnea=exp=1750683290~acl=/api/1/1/0/9/f/0/09ff97eea1447cee83a379868af76267.mp3*~data=user_id=0,application_id=42~hmac=82e0c3c33b1c54c86d7a8292818ab4be3f72c9f8f01f2a91e5c2716efa0877bf"
8014760,Got to Be Real,Cheryl Lynn,721786,"https://cdnt-preview.dzcdn.net/api/1/1/2/e/c/0/2ec3d9f1604e40093862c4c369805d5b.mp3?hdnea=exp=1750683288~acl=/api/1/1/2/e/c/0/2ec3d9f1604e40093862c4c369805d5b.mp3*~data=user_id=0,application_id=42~hmac=b963c078a4c4986c1446f027d5cb677bdbe98d1e98ce3d588749e6206327e9da"
3996796,Just An Illusion,Imagination,714902,"https://cdnt-preview.dzcdn.net/api/1/1/6/5/f/0/65fe674fa20495163e4f7bfc3a011979.mp3?hdnea=exp=1750683288~acl=/api/1/1/6/5/f/0/65fe674fa20495163e4f7bfc3a011979.mp3*~data=user_id=0,application_id=42~hmac=840eabf23ddc23f6539e40ce7a0f94eb09158056f4720cd2e95d4c7f2490f9e7"
3296699811,The One,Chloé Caillet,710342,"https://cdnt-preview.dzcdn.net/api/1/1/0/f/7/0/0f79dfd8a3adf6f0002265ecb109b86f.mp3?hdnea=exp=1750683289~acl=/api/1/1/0/f/7/0/0f79dfd8a3adf6f0002265ecb109b86f.mp3*~data=user_id=0,application_id=42~hmac=c64ba0f84859d6e7d7761d6eb1a23a10b3169af4a7d252c731bdd00a1e658dbd"
3299734151,In the Moment (Adriatique Remix),RÜFÜS DU SOL,707614,"https://cdnt-preview.dzcdn.net/api/1/1/4/9/f/0/49f24ae71fa57c738fa9a573ebab1fe4.mp3?hdnea=exp=1750683288~acl=/api/1/1/4/9/f/0/49f24ae71fa57c738fa9a573ebab1fe4.mp3*~data=user_id=0,application_id=42~hmac=e38a2e281afc161e354bc2d99427e20a0393cf1e8223c13c7deda23763ec0fcc"
1026366,Best of My Love,The Emotions,695128,"https://cdnt-preview.dzcdn.net/api/1/1/1/d/9/0/1d95990d7a000e53fcc7bab96171ccaf.mp3?hdnea=exp=1750683288~acl=/api/1/1/1/d/9/0/1d95990d7a000e53fcc7bab96171ccaf.mp3*~data=user_id=0,application_id=42~hmac=93569f8400c49b9a59f7d8f20511cdd11919d30be634074aebbd7e17afa0dd0a"
891619,You Make Me Feel (Mighty Real),Sylvester,692585,"https://cdnt-preview.dzcdn.net/api/1/1/6/a/d/0/6ad5ad2ad9ccec9a2f4b23ea76da5136.mp3?hdnea=exp=1750683288~acl=/api/1/1/6/a/d/0/6ad5ad2ad9ccec9a2f4b23ea76da5136.mp3*~data=user_id=0,application_id=42~hmac=f8be2c820d9873ed5861aa2ecb25e9ac8a274d1fa28cc9a6bb9569ba0c87a0ad"
3297619671,Don't Stop,Prospa,690428,"https://cdnt-preview.dzcdn.net/api/1/1/1/1/a/0/11aebbc263d9e0b7dcfb44d6e822b925.mp3?hdnea=exp=1750683289~acl=/api/1/1/1/1/a/0/11aebbc263d9e0b7dcfb44d6e822b925.mp3*~data=user_id=0,application_id=42~hmac=64104504e460ae1958a881bac9e8d46a347a6584cd9a52cdbe399292710bc2cc"
